,textOriginal,cluster
0,Im sorry I'm Indonesia,0
1,American English,0
2,thanks a lot teacher❤,3
3,American,0
4,"Australians: Truck 🚛, Lolly 🍬, Cookie 🍪, Jumper, Eggplant 🍆.

3 x 🇺🇸
1 x 🇬🇧
1 x 🇦🇺",4
5,Justa learning 1000 words but after minutes forget 999 words 😮,3
6,Candy* United States/me calamelo*cuba,4
7,the last one was a dildo,1
8,I said toffee😂,1
9,And what about chocolate😂,1
11,"There is no such thing as an ""American"" accent. Its very regional",0
12,Working with Americans and Canadians who'll exploit you unless you're a top professional.  This is rubbish Marina. Stick to your English.,0
13,The last one I was watching with my brother and he said that girl is sus,1
14,If chips are fries in uk then is fries chips in uk,4
16,Who the hell is calling it an aubergine?,2
17,"Dear foreigner, do not let the media mislead you about what is happening... Gaza has been under siege for eight days. There is no food, no water, no electricity, and no internet. Children and women are brutally bo*bed every day, hospitals declare that they are unable to absorb The huge number of wo*nded and marty*s...Israel is committing a crim*e against humanity ...and under the eyes of the whole world... And for the ones looking for the truth check @motaz_azaiza @saleh_aljafarawi @ahmedhijazee",3
18,"Hello, please read this 🙏🏻 This is what is happening in  Pal,est!ne kids are ki. lled here people are defending what is theirs innocent souls are  mu. rd/ered ! They're letting them star""ve to de*a th no water no electricity no food this is barb, aric !  please check these pages and you will see what the western media are hiding from you : @motaz_azaiza @eye.on.palestine  @ahmedhijazee @saleh_aljafarawi STAND WITH PAL,EST!NE and make people see the truth of the bru,tal behaviour of Isr:ael!!! ✊🏻",3
19,Congratulations🎉🎊🥳💛💛💛,1
20,"I was born in Syria
Yes I do have one brother
Every Friday and sometimes in Saturday and Thursday
I would like to see you marina
I would like to visit USA",3
22,Very cute Emily ❤,3
23,As a German this is one of the few times I hear a foreigner actually speaking German well. 😅👍,0
25,I’m British but I got two British ones…,0
27,since entrepreneur is taken from French it's really easy for me x),3
29,I fail the last one,1
30,"America:eggplant
British:aubergine
Me:pp",2
31,Me when I'm a mixture of both 😂,1
32,It's similar to French,0
33,"American people:eggplant
Me:dick",2
34,BRUH IM QUATER AMERICA. I SPEAK BOTH LOL,0
35,In Romania is not eggplant is Dick,2
36,"America: candy
British: sweets
My mom: diabetes",4
37,Last he I thought in American she is gonna say penis,0
38,Finally an English speaker that I can understand jajjajajaj thanks for the slang❤️,3
39,"Hello, Marina) i have been learning english for 3 years maybe and  now i have b1-b2 level and when i started it was in 2019 year, my level was A1, and now i proud of myself in somthing degree😊",3
43,"Your face ,,,make some kind of positive attraction,,,the vibe energy bla bla 🤓😂,,,informative,,,try differentiating the sentences …✨",3
44,seriously ! i do say this word all the time😂😂😂😂,1
45,It’s not only British people who say stuff like that. It’s kind of sad that Britain get more of the credit about what we both say,0
47,POV my bff explaining English for me because the teacher is confusing,3
48,Who hate british 👇,0
49,"I want to work abroad, have friends from different countries, change my life for the better and show everyone who thinks I'm incapable to achive mygoals , that I'm capable to get my goals.",3
50,"British: Aubergine
American: Eggplant
India: Baigannn 😂😂",2
51,I did not not know cactus,1
53,I am half British and Half American 🤦☠️☠️💀💀,0
54,"American :eggplant
British:Aubergine
Bharati/Indian: favourite subject
Aai,baigan😂😂

Indians will get it",2
57,I speak british,0
59,mam how i can get scalarship in the usa different universities,3
60,Brinjal left the chat,1
61,"American eggplant 
British peni",2
63,Welcome to the USA 🇺🇸 we don’t play around here.,0
64,Tofee💀,1
65,Indians - where am i,0
66,your accent is very clear  ..many many thank you mam,0
68,"America = eggplant 
Britisherers= I forgot 
Me= baigan",2
70,"Americans:Eggplant 
 Britishers: Aubergine 
 Le me:Then what brinjal? 🤔😅",2
71,Bal shoye spaseeba,1
73,How apply school visa,3
74,Do you spał english,1
75,American 🇺🇸,0
77,But last one was thanos🍆🍆🍆,1
78,"American: cookie
British: biscuit
Indian:biscut
in my house: bicu
👇",4
79,"American: Eggplant
British: Aubergine




*Me: Di-*",2
80,this makes me feel worse. I don’t want to spend the rest of my life with a shitty Spanish teacher who expects me to be fluent and doesn’t even give a shit abt my mental health. im terrified of Spanish like I think i have spanish class phobia (im being serious)😞,3
81,Me who said bringal😅,1
82,"The Homework :
first sentence: for 2 years      second sentence: since 2021",1
83,Tips to understand TV news máster Teacher please .,3
84,"Americans:eggplant
British:aubergine 
Me:umm it's an uhh peni",2
85,"American:candy
British:Sweets
Me:lolly",4
87,He lives in 13 long street. I'm visiting my grandma at a hospital. I like traveling in a train. This is my answer.,1
88,"American- pacifier 
Australia- dummy 💀",0
89,Do Moscot Lemtosh pronunciation please..Tq.,1
90,I said cash at the first one,1
91,"I decided to follow this plan 
Thank u sm 💓",3
92,Indians who use both😎😎,0
93,Im 100% American,0
94,😂😂😂😂😂😂😂😂Go the best love you so much forever and I think it was love,1
97,"Brithish: abeurgene
American: eggplant
2024: penis",2
99,"I am Indian so 
Truck 🚛
Toffee 🍬 
Biscuit 🍪
Sweater 👕(my grandma calls it swater)
Brinjal 🍆",4
100,In germany its 🍆aubergine,1
101,"American: Trash can
British: Dust bin


Meanwhile ME: Trash bin 😂😅",0
102,I really appreciate the way you explain clearly every object in your kitchen with a sense of fun ❤,3
103,With cookies and biscuit in British usually if it’s a hard biscuit it’s a biscuit but a soft one is a cookie,4
104,"I am form 🇮🇳 and ur too distinctive  ,cordial person",3
105,"Ameican: eggplant 
British: Aubergine
My language: Di-",2
106,Me who said toffe,1
107,Croastant 😂😂😂😂,1
108,"british:aubergine
american:eegplant

me:di-",2
109,last one called dic,1
110,How mean are you,1
111,Im from mongolia😂,0
113,lol i speak american english :),0
115,"Me:
Truck🇺🇸
Candy🇺🇸
Cookie🇺🇸
Jumper🇬🇧
Aubergine🇬🇧",1
116,"American:candy
British:sweet

Me:toffee",4
117,"American: eggplant
Britishers: Aubergine
Me(Indian): brinjal 😂
American: candy
Britishers: sweet
Me(Indian): choclate 😂",2
118,both,1
119,we bengali like to mix it up we calll them torch light,1
120,And what if i from Hungary? 🇭🇺,0
121,American:sweater      British:jumper         Me:clothes💀,0
123,"American: eggplant
British: aubergine
Indonesian: terONG🗿",2
124,Ok i speak both 🗿,1
126,Its fresh FROIZZ,1
127,Thank you Marina I am from uzbekistan I am a great fan of yours,3
128,"Amrican-Eggplant 
British-aubergine
Me-Dick,nunnu,lulli",2
130,Thats not a sweet nor candy ITS A LOLLY,4
131,Why I found myself in both? damn,1
132,"In last we Indians call it brinjal but I thought dirty and it was 
D......
I......
DISH IN ITS LONG FORM 😂😂
WHAT DID YOU THINK YOU UNHOLY CHILD 😂😂😂",1
133,I love  english language,0
134,us  Indians just do be dominating 😅😂 we speak both 😎,0
135,Unique representation of ideation in TOEFL and GMAT,1
137,puppy calf calf calf calf kitten,1
140,im american but i thought im british never mind!,0
142,I'm British,0
143,We call it brinjal in India then what english is it😮😮😮😮,1
144,No it's bin in Britain,4
