,textOriginal,pred_label,cluster
0,thanks a lot teacher❤,Positive Feedback,1
1,Justa learning 1000 words but after minutes forget 999 words 😮,Error in the video,1
2,"I was born in Syria
Yes I do have one brother
Every Friday and sometimes in Saturday and Thursday
I would like to see you marina
I would like to visit USA",Personal Story,1
3,Very cute Emily ❤,Positive Feedback,1
4,since entrepreneur is taken from French it's really easy for me x),Joking,1
5,Finally an English speaker that I can understand jajjajajaj thanks for the slang❤️,Positive Feedback,1
6,"Hello, Marina) i have been learning english for 3 years maybe and  now i have b1-b2 level and when i started it was in 2019 year, my level was A1, and now i proud of myself in somthing degree😊",Personal Story,1
7,"Your face ,,,make some kind of positive attraction,,,the vibe energy bla bla 🤓😂,,,informative,,,try differentiating the sentences …✨",Joking,1
8,POV my bff explaining English for me because the teacher is confusing,Positive Feedback,1
9,"I want to work abroad, have friends from different countries, change my life for the better and show everyone who thinks I'm incapable to achive mygoals , that I'm capable to get my goals.",Questions,1
10,mam how i can get scalarship in the usa different universities,Questions,1
11,How apply school visa,Questions,1
12,this makes me feel worse. I don’t want to spend the rest of my life with a shitty Spanish teacher who expects me to be fluent and doesn’t even give a shit abt my mental health. im terrified of Spanish like I think i have spanish class phobia (im being serious)😞,Personal Story,1
13,Tips to understand TV news máster Teacher please .,Constructive Criticism,1
14,"I decided to follow this plan 
Thank u sm 💓",Positive Feedback,1
15,I really appreciate the way you explain clearly every object in your kitchen with a sense of fun ❤,Positive Feedback,1
16,Thank you Marina I am from uzbekistan I am a great fan of yours,Positive Feedback,1
17,Thanks so much❤,Positive Feedback,1
18,I have coherent planning for my startup.,New Subscriber,1
19,Thank you very much for the very informative lesson!,New Subscriber,1
20,Getting all of these questions right from her gives me a confidence boost!,Positive Feedback,1
21,I'm new subscriber mam. And thank you so much for best teaching.,New Subscriber,1
22,Thank you so much for the information and I really want to study in United States of America,Positive Feedback,1
23,"I have a problem. 
When i read, or write english i can understand perfectly, but is hard to me to understand people talking",New Subscriber,1
24,Nice.  Teacher,Positive Feedback,1
25,Nice.  Teacher,Positive Feedback,1
26,Thanks for the phrases it was really helpful.,Positive Feedback,1
27,"Great question Marina! I think that technology is making a revolution not only in the way we learn -or even are ""necessary"" as human beings- but only in the political and power system: to whom we confer authority and why?. I think self-conscious people, with a critical mind and self-discipline values and desire to get better, will always defend their rights to speak by themselves, and think by themselves. Technology doesn´t replace our right to think by ourselves. I think that smart self conscious people will always want to learn and acquire foreign languages by themselves to expand their horizons and consciousness. Maybe with the help -assistance of technlogy as a training tool-, never replacing the ability to think by themselves and learning from other human beings. We human beings create the language, and we are the ones that make them evolve, technology is only a tool. But that said, for those people that are lazy, don't care to think by themselves, and blindly trust technology, well, yes, they are just going to use apps. The other people, we are going to continue exercising our brains, imagination and emotions.",Questions,1
28,"thank you ,  from Sri Lanka",Positive Feedback,1
29,B2-C1 but i have a lot to learn,New Subscriber,1
