authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,channelId,videoId,textDisplay,textOriginal,parentId,canRate,viewerRating,likeCount,moderationStatus,publishedAt,updatedAt
ITS_ PINKY,https://yt3.ggpht.com/aFFlcFsCFl6x7CDRwNcVQUYGLHO52Tw_K8LpvMzk_MnrjWtVciseVoO74lrA-z9IFbzjwIopZA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCjCRVkRpUlHqfp_gdpaBPOA,{'value': 'UCjCRVkRpUlHqfp_gdpaBPOA'},UCAQg09FkoobmLquNNoO4ulg,lKkIBuBKaYQ,Im sorry I&#39;m Indonesia,Im sorry I'm Indonesia,,True,none,0,,2023-10-15T04:04:09Z,2023-10-15T04:04:09Z
Usha m,https://yt3.ggpht.com/ytc/APkrFKYIjAZ35MFIBV8AE3gLVGLMayYkh30VAs_ma4SNgA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCSv68BgvNWFcgGGdjxBvLyw,{'value': 'UCSv68BgvNWFcgGGdjxBvLyw'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,American English,American English,,True,none,0,,2023-10-15T04:00:52Z,2023-10-15T04:00:52Z
Thandar MayOo,https://yt3.ggpht.com/ytc/APkrFKYn_Cfx3FQDMQ4LiDsNTjm7Esg6BC8CH-47zNgK2-1QJrDDHWPpz8G6S2NJDYTO=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCsboc7dHyi3UelUbOX-S_Mw,{'value': 'UCsboc7dHyi3UelUbOX-S_Mw'},UCAQg09FkoobmLquNNoO4ulg,qtlTMRyMWfU,thanks a lot teacher❤,thanks a lot teacher❤,,True,none,0,,2023-10-15T03:57:36Z,2023-10-15T03:57:36Z
my dreams mm,https://yt3.ggpht.com/P8FRE-AkxQArvRfemYoZ3mjJ2iOIj_BJHwnIjbUCdRI6jlSuUO3Kl1FP6HB_azyyXCyz_DNmfg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCIzLlhvBSmWq7QOhP_kNerA,{'value': 'UCIzLlhvBSmWq7QOhP_kNerA'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,American,American,,True,none,0,,2023-10-15T03:26:21Z,2023-10-15T03:26:21Z
MrCodesYt,https://yt3.ggpht.com/49FlPza06B7Ol1-600H4zf1lJ7P5Fsl0qkIoiOIRpHzhbLa0r_gge0-sagXLKzUZP3d-lUQdAw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCeeiZqY6_7mtGSJLdw1x5Rw,{'value': 'UCeeiZqY6_7mtGSJLdw1x5Rw'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,"Australians: Truck 🚛, Lolly 🍬, Cookie 🍪, Jumper, Eggplant 🍆.<br><br>3 x 🇺🇸<br>1 x 🇬🇧<br>1 x 🇦🇺","Australians: Truck 🚛, Lolly 🍬, Cookie 🍪, Jumper, Eggplant 🍆.

3 x 🇺🇸
1 x 🇬🇧
1 x 🇦🇺",,True,none,0,,2023-10-15T02:42:07Z,2023-10-15T02:42:07Z
Anisa aragsan,https://yt3.ggpht.com/ytc/APkrFKYk7_fRZDn30rdwqtmSJNNVsOAYYwx0d20tOw3tGw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCD2p2xO92JiYNzOhbIx0uGg,{'value': 'UCD2p2xO92JiYNzOhbIx0uGg'},UCAQg09FkoobmLquNNoO4ulg,qXtKaqJrWCQ,Justa learning 1000 words but after minutes forget 999 words 😮,Justa learning 1000 words but after minutes forget 999 words 😮,,True,none,0,,2023-10-15T02:34:10Z,2023-10-15T02:34:10Z
Floralis Garcia,https://yt3.ggpht.com/ytc/APkrFKbPL2TTOtGpVB4TjoS35jV1UoFwvVzDcdshYQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCKwhJOaiWND4hA8iPiJyYDA,{'value': 'UCKwhJOaiWND4hA8iPiJyYDA'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,Candy* United States/me calamelo*cuba,Candy* United States/me calamelo*cuba,,True,none,0,,2023-10-15T02:27:55Z,2023-10-15T02:27:55Z
ELITE SEMI,https://yt3.ggpht.com/BWGmeGxNwykLJa2O-yUMo-NNh587ZNEzYkWdF64us57i52jUDFNRf5TjuHpEsRCwZvUBtsMP8Z4=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UChGujcleMYSMUHFTW1vY9rQ,{'value': 'UChGujcleMYSMUHFTW1vY9rQ'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,the last one was a dildo,the last one was a dildo,,True,none,0,,2023-10-15T02:26:50Z,2023-10-15T02:26:50Z
Gamer AK,https://yt3.ggpht.com/DYStgUw138Lowu1SQ1tUovqg9ppDldGGKj7fyi2frq2RaptkFAmKuCyBtOPS1TEpKVBgncpXOw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCuXmb4nfjt6YRbbm_V8ZiSA,{'value': 'UCuXmb4nfjt6YRbbm_V8ZiSA'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,I said toffee😂,I said toffee😂,,True,none,0,,2023-10-15T02:24:01Z,2023-10-15T02:24:01Z
SP GAMING,https://yt3.ggpht.com/f3nI1s6sXsystUS97HE2rIQfdlwYQ1LyT3kj5OHZsliZHwtGV6rmDjXI5J4QK3tnMxT4hvAL_g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCPu3aOEFq4e8FF6GigkcOpQ,{'value': 'UCPu3aOEFq4e8FF6GigkcOpQ'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,And what about chocolate😂,And what about chocolate😂,,True,none,1,,2023-10-15T02:10:45Z,2023-10-15T02:10:45Z
Zenpha11i0n,https://yt3.ggpht.com/iFwiX68Mt_z3ahycX9i5U4YDyQ_5zzmnrbB0Ht6nhUae66RDNC7MukvBjb60Z1QeqQQp0YrK=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCLs2mfitHKIyRqGM77Wei4g,{'value': 'UCLs2mfitHKIyRqGM77Wei4g'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,Это грузовик <br>Канфетка <br>Печенька<br>Свитер<br>И<br>Баклажан,"Это грузовик 
Канфетка 
Печенька
Свитер
И
Баклажан",,True,none,0,,2023-10-15T01:42:02Z,2023-10-15T01:42:02Z
Lavender,https://yt3.ggpht.com/0DLTVlZvUoKTrWWmhegS9Syn7ZlckIQ2-pWmo5WYEcMLJbNOr9zOmWQXN_-qRG564Rd3H3QXwA4=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCSLB0E3jkLM3T0U8VEjen7w,{'value': 'UCSLB0E3jkLM3T0U8VEjen7w'},UCAQg09FkoobmLquNNoO4ulg,tzSKTg4KuZY,There is no such thing as an &quot;American&quot; accent. Its very regional,"There is no such thing as an ""American"" accent. Its very regional",,True,none,0,,2023-10-15T01:13:39Z,2023-10-15T01:13:39Z
A-51 Labs Studio,https://yt3.ggpht.com/N-uXteK6aFIIV80KojTVZ0CrW4RtlfkKJA-nCGBvs5Js6xx2dQ4r9Ljb_LDJgsPNshXlz-3yXA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCR2-0-BNGU3zHjEUZwmO2HQ,{'value': 'UCR2-0-BNGU3zHjEUZwmO2HQ'},UCAQg09FkoobmLquNNoO4ulg,f9ED2shSRJg,Working with Americans and Canadians who&#39;ll exploit you unless you&#39;re a top professional.  This is rubbish Marina. Stick to your English.,Working with Americans and Canadians who'll exploit you unless you're a top professional.  This is rubbish Marina. Stick to your English.,,True,none,0,,2023-10-15T00:30:44Z,2023-10-15T00:30:44Z
Sophie Brionesmonette,https://yt3.ggpht.com/ytc/APkrFKZ_ytwnftOs0es04PlL_wv8OE6h5Jz4i3qJVtC7gMOzIg_SbJLhhEXKLR4ZgkRX=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCEbldQFNOAg1_IB85vW32RQ,{'value': 'UCEbldQFNOAg1_IB85vW32RQ'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,The last one I was watching with my brother and he said that girl is sus,The last one I was watching with my brother and he said that girl is sus,,True,none,0,,2023-10-15T00:13:14Z,2023-10-15T00:13:23Z
Mask_Mysterious,https://yt3.ggpht.com/efslXc4qQyrpdb_MgCX9BdO3QPiTqgOurjCfdzOWBW0IGrb5WU2VIg80tK3HShMI2V3l7D0ECQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC8OPlUUrqTMoQwnmrhqI2FQ,{'value': 'UC8OPlUUrqTMoQwnmrhqI2FQ'},UCAQg09FkoobmLquNNoO4ulg,lKkIBuBKaYQ,If chips are fries in uk then is fries chips in uk,If chips are fries in uk then is fries chips in uk,,True,none,0,,2023-10-14T23:43:36Z,2023-10-14T23:43:36Z
kaz marekova,https://yt3.ggpht.com/ytc/APkrFKZHMZCjB1f4Rcrv2e55Q8787OTkEtFLaoOSMj_aAvWMn69pNCllA3zUp6DyiUaZ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC8mf3TCEruurOcAbsE9BIPA,{'value': 'UC8mf3TCEruurOcAbsE9BIPA'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,not me saying lolly...,not me saying lolly...,,True,none,1,,2023-10-14T22:38:12Z,2023-10-14T22:38:12Z
Karen Long,https://yt3.ggpht.com/ytc/APkrFKZdInunSDHa1pEVxpdzwEQp6Y5PQkulqACEWuwtjSIYnxOjMBJW77TeVs09l6_2=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC8XibGprXyzw9MiBfSNawiw,{'value': 'UC8XibGprXyzw9MiBfSNawiw'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,Who the hell is calling it an aubergine?,Who the hell is calling it an aubergine?,,True,none,0,,2023-10-14T22:17:23Z,2023-10-14T22:17:23Z
ikram nader,https://yt3.ggpht.com/ytc/APkrFKbmZdT1z6fXEeoFaSwYEuv1pt9TdxaiaPpJsBG3_g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCOjjnu1bu9sYuXJX3FEfypA,{'value': 'UCOjjnu1bu9sYuXJX3FEfypA'},UCAQg09FkoobmLquNNoO4ulg,jU3bd_vTJdk,"Dear foreigner, do not let the media mislead you about what is happening... Gaza has been under siege for eight days. There is no food, no water, no electricity, and no internet. Children and women are brutally bo*bed every day, hospitals declare that they are unable to absorb The huge number of wo*nded and marty*s...Israel is committing a crim*e against humanity ...and under the eyes of the whole world... And for the ones looking for the truth check @motaz_azaiza @saleh_aljafarawi @ahmedhijazee","Dear foreigner, do not let the media mislead you about what is happening... Gaza has been under siege for eight days. There is no food, no water, no electricity, and no internet. Children and women are brutally bo*bed every day, hospitals declare that they are unable to absorb The huge number of wo*nded and marty*s...Israel is committing a crim*e against humanity ...and under the eyes of the whole world... And for the ones looking for the truth check @motaz_azaiza @saleh_aljafarawi @ahmedhijazee",,True,none,0,,2023-10-14T22:04:55Z,2023-10-14T22:04:55Z
