,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,channelId,videoId,textDisplay,textOriginal,parentId,canRate,viewerRating,likeCount,moderationStatus,publishedAt,updatedAt,lang,pred_label
0,ITS_ PINKY,https://yt3.ggpht.com/aFFlcFsCFl6x7CDRwNcVQUYGLHO52Tw_K8LpvMzk_MnrjWtVciseVoO74lrA-z9IFbzjwIopZA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCjCRVkRpUlHqfp_gdpaBPOA,{'value': 'UCjCRVkRpUlHqfp_gdpaBPOA'},UCAQg09FkoobmLquNNoO4ulg,lKkIBuBKaYQ,Im sorry I&#39;m Indonesia,Im sorry I'm Indonesia,,True,none,0,,2023-10-15T04:04:09Z,2023-10-15T04:04:09Z,en,New Subscriber
1,Usha m,https://yt3.ggpht.com/ytc/APkrFKYIjAZ35MFIBV8AE3gLVGLMayYkh30VAs_ma4SNgA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCSv68BgvNWFcgGGdjxBvLyw,{'value': 'UCSv68BgvNWFcgGGdjxBvLyw'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,American English,American English,,True,none,0,,2023-10-15T04:00:52Z,2023-10-15T04:00:52Z,en,New Subscriber
2,Thandar MayOo,https://yt3.ggpht.com/ytc/APkrFKYn_Cfx3FQDMQ4LiDsNTjm7Esg6BC8CH-47zNgK2-1QJrDDHWPpz8G6S2NJDYTO=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCsboc7dHyi3UelUbOX-S_Mw,{'value': 'UCsboc7dHyi3UelUbOX-S_Mw'},UCAQg09FkoobmLquNNoO4ulg,qtlTMRyMWfU,thanks a lot teacher❤,thanks a lot teacher❤,,True,none,0,,2023-10-15T03:57:36Z,2023-10-15T03:57:36Z,en,Positive Feedback
3,my dreams mm,https://yt3.ggpht.com/P8FRE-AkxQArvRfemYoZ3mjJ2iOIj_BJHwnIjbUCdRI6jlSuUO3Kl1FP6HB_azyyXCyz_DNmfg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCIzLlhvBSmWq7QOhP_kNerA,{'value': 'UCIzLlhvBSmWq7QOhP_kNerA'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,American,American,,True,none,0,,2023-10-15T03:26:21Z,2023-10-15T03:26:21Z,en,Personal Story
4,MrCodesYt,https://yt3.ggpht.com/49FlPza06B7Ol1-600H4zf1lJ7P5Fsl0qkIoiOIRpHzhbLa0r_gge0-sagXLKzUZP3d-lUQdAw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCeeiZqY6_7mtGSJLdw1x5Rw,{'value': 'UCeeiZqY6_7mtGSJLdw1x5Rw'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,"Australians: Truck 🚛, Lolly 🍬, Cookie 🍪, Jumper, Eggplant 🍆.<br><br>3 x 🇺🇸<br>1 x 🇬🇧<br>1 x 🇦🇺","Australians: Truck 🚛, Lolly 🍬, Cookie 🍪, Jumper, Eggplant 🍆.

3 x 🇺🇸
1 x 🇬🇧
1 x 🇦🇺",,True,none,0,,2023-10-15T02:42:07Z,2023-10-15T02:42:07Z,en,Positive Feedback
5,Anisa aragsan,https://yt3.ggpht.com/ytc/APkrFKYk7_fRZDn30rdwqtmSJNNVsOAYYwx0d20tOw3tGw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCD2p2xO92JiYNzOhbIx0uGg,{'value': 'UCD2p2xO92JiYNzOhbIx0uGg'},UCAQg09FkoobmLquNNoO4ulg,qXtKaqJrWCQ,Justa learning 1000 words but after minutes forget 999 words 😮,Justa learning 1000 words but after minutes forget 999 words 😮,,True,none,0,,2023-10-15T02:34:10Z,2023-10-15T02:34:10Z,en,Error in the video
6,Floralis Garcia,https://yt3.ggpht.com/ytc/APkrFKbPL2TTOtGpVB4TjoS35jV1UoFwvVzDcdshYQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCKwhJOaiWND4hA8iPiJyYDA,{'value': 'UCKwhJOaiWND4hA8iPiJyYDA'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,Candy* United States/me calamelo*cuba,Candy* United States/me calamelo*cuba,,True,none,0,,2023-10-15T02:27:55Z,2023-10-15T02:27:55Z,en,New Subscriber
7,ELITE SEMI,https://yt3.ggpht.com/BWGmeGxNwykLJa2O-yUMo-NNh587ZNEzYkWdF64us57i52jUDFNRf5TjuHpEsRCwZvUBtsMP8Z4=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UChGujcleMYSMUHFTW1vY9rQ,{'value': 'UChGujcleMYSMUHFTW1vY9rQ'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,the last one was a dildo,the last one was a dildo,,True,none,0,,2023-10-15T02:26:50Z,2023-10-15T02:26:50Z,en,Collaboration Offers
8,Gamer AK,https://yt3.ggpht.com/DYStgUw138Lowu1SQ1tUovqg9ppDldGGKj7fyi2frq2RaptkFAmKuCyBtOPS1TEpKVBgncpXOw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCuXmb4nfjt6YRbbm_V8ZiSA,{'value': 'UCuXmb4nfjt6YRbbm_V8ZiSA'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,I said toffee😂,I said toffee😂,,True,none,0,,2023-10-15T02:24:01Z,2023-10-15T02:24:01Z,en,Joking
9,SP GAMING,https://yt3.ggpht.com/f3nI1s6sXsystUS97HE2rIQfdlwYQ1LyT3kj5OHZsliZHwtGV6rmDjXI5J4QK3tnMxT4hvAL_g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCPu3aOEFq4e8FF6GigkcOpQ,{'value': 'UCPu3aOEFq4e8FF6GigkcOpQ'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,And what about chocolate😂,And what about chocolate😂,,True,none,1,,2023-10-15T02:10:45Z,2023-10-15T02:10:45Z,en,Questions
