,textOriginal,cluster
1,I'm I'm exhausted . 😩,3
2,i say american wordier and i am british,4
3,Man i thought it was brinjal,3
8,"Want some sweets, a biscuit and an aubergine on a lorry in a jumper mate?",0
9,No English person calls it a dust bin its either just bin or rubbish bin normally just bin,0
10,I speak American,4
11,You explain everything I love it ❤,1
13,I'm mixed of both,3
14,"I talk American English
In chat they are talking nonsence",4
15,I'm very sorry but that's not how you pronounce aubergine it is more like oe (like in toe) bur gean (a slightly silent G),2
18,"Americans: eggplant

Britan: aubergiene

How I say it: obujine",2
20,"Money
Truck
Shoes
Ban aid 
French fries",0
24,**brinjal left the chat**,3
25,I’m speak American,4
27,"Me as Indian
Money
Truck
Shoes
Bandage
French fries",0
28,"I thought , i am A2 before i watch this video but now i realize that i am B1 
Thanks from your video ❤",1
29,"Us-eggplant,UK- aubergine and me bringle😅",2
30,"Eng-bill, UK-note and me-money 😅
Eng-trainers, UK-sneakers and me-shoes 😅",4
33,No not biscut but it is Crispy munchy deligtes,0
34,"America:Eggplant
British:Aubergine


Me:Di-",2
37,"Americans: zucchini 
British people: courgette 
Indians and me: cucumber 💀 ☠️ 💀 



Edit: mom I am famous 😂🎉",0
38,"Her: what is this?
Me: MONEY
Her: next this one
Me: A CAR
Her: and this one?
Me: A SHOE!!!
Her: and this?!?
Me: ONE OF THOSE MEDICAL HEALTH STICKY STUFF!!
her: ok what about this!?!
Me: Oh that's a plaster",3
39,Please don't  Choose this picture In your video( Cover) because it's no halal for Muslim people. We hope you understand us .Thank you.,1
40,BRO THAT'S LITERALLY BRINJAL,3
41,if my english is🇺🇸,4
43,Cucumbers 🥒 crying in the corner 😂😂,0
44,Cucumbers 🥒 crying in the corner 😂😂,0
45,both but more amerian,3
46,"You are a native speaker, and I understand you clearly.
But why is it still so difficult for me to watch 'Billions' (for example) in English?",4
47,never let them now ur last move................. i'm from the netherlands!,3
48,"Me to her: it's brinjal nit eggplant or whatever,fucking about that,take it in your mouth and in your womb and make a babby of brinjallll!!!!!",2
49,👇 Team american,4
50,I think I'm speaking both english,3
51,"HI MARINA, I AM ALL EARS WHILE I AM WATCHING YOUR VIDEO.",1
54,"Americans:sweater
British:jumper

Me: jersey",4
55,10:09 Thank you Marina for this meditation. It relly helped me boost my connfidence!,1
56,Too easy😂😂😂😂😂😂,3
57,"American: Candy 🍬
British: Sweets 🍬

Pakistan: Toffee 💀",0
58,I speak American English,4
63,"Indian English- Truck, Toffee, Cookie( biscuits are different for us), Sweater, Brinjal😂",0
64,"American eggplant 
British   aubergine 
Indians  baigan 
😂😂",2
67,"American: Eggplant    
British: Aubergine   
Me: DICK!",2
68,Brinjal left the chat 😢,3
69,We Indian people speak both British and American 🤣🤣,4
70,As an indian i confirm that i speak both the accents 😂,4
71,As a indian i confirm that i speak both the accents.,4
72,"American:candy
British:sweets

Me:lollies😂",0
73,What about cash/money?😅,3
75,"Candy in American
Sweets in British
Me (Australian): Lollie 
anyone else??",0
76,Eggplant  only boy know 🤨,2
77,How are you,3
78,I was always right ❤,3
80,"American English: candy
British English: sweet
Aussie English: lollie

American English: cookie
British English: biscuit 
Aussie English: bicci",0
83,India 🇮🇳. Be like  candy sweet no toffe,0
85,"British-Sweets 
American-Candy
Australia-Lollies",0
86,I speak Indian English 🗿🗿,4
87,"🚛 - truck 
🍬-toffee
🍪- Biscuut 
🍆- Brinjal",0
89,"truck 
toffee
cookie
jacket 
brinjal",0
90,Im sorry I'm Indonesia,3
91,American English,4
92,thanks a lot teacher❤,1
93,American,4
94,"Australians: Truck 🚛, Lolly 🍬, Cookie 🍪, Jumper, Eggplant 🍆.

3 x 🇺🇸
1 x 🇬🇧
1 x 🇦🇺",0
95,Justa learning 1000 words but after minutes forget 999 words 😮,1
96,Candy* United States/me calamelo*cuba,0
97,the last one was a dildo,3
98,I said toffee😂,3
99,And what about chocolate😂,3
101,"There is no such thing as an ""American"" accent. Its very regional",4
102,Working with Americans and Canadians who'll exploit you unless you're a top professional.  This is rubbish Marina. Stick to your English.,4
103,The last one I was watching with my brother and he said that girl is sus,3
104,If chips are fries in uk then is fries chips in uk,0
106,Who the hell is calling it an aubergine?,2
107,"Dear foreigner, do not let the media mislead you about what is happening... Gaza has been under siege for eight days. There is no food, no water, no electricity, and no internet. Children and women are brutally bo*bed every day, hospitals declare that they are unable to absorb The huge number of wo*nded and marty*s...Israel is committing a crim*e against humanity ...and under the eyes of the whole world... And for the ones looking for the truth check @motaz_azaiza @saleh_aljafarawi @ahmedhijazee",3
108,"Hello, please read this 🙏🏻 This is what is happening in  Pal,est!ne kids are ki. lled here people are defending what is theirs innocent souls are  mu. rd/ered ! They're letting them star""ve to de*a th no water no electricity no food this is barb, aric !  please check these pages and you will see what the western media are hiding from you : @motaz_azaiza @eye.on.palestine  @ahmedhijazee @saleh_aljafarawi STAND WITH PAL,EST!NE and make people see the truth of the bru,tal behaviour of Isr:ael!!! ✊🏻",3
110,"I was born in Syria
Yes I do have one brother
Every Friday and sometimes in Saturday and Thursday
I would like to see you marina
I would like to visit USA",1
112,Very cute Emily ❤,1
113,As a German this is one of the few times I hear a foreigner actually speaking German well. 😅👍,4
115,I’m British but I got two British ones…,4
117,since entrepreneur is taken from French it's really easy for me x),1
119,I fail the last one,3
120,"America:eggplant
British:aubergine
Me:pp",2
121,Me when I'm a mixture of both 😂,3
122,It's similar to French,0
123,"American people:eggplant
Me:dick",2
124,BRUH IM QUATER AMERICA. I SPEAK BOTH LOL,4
125,In Romania is not eggplant is Dick,2
126,"America: candy
British: sweets
My mom: diabetes",0
127,Last he I thought in American she is gonna say penis,4
128,Finally an English speaker that I can understand jajjajajaj thanks for the slang❤️,1
129,"Hello, Marina) i have been learning english for 3 years maybe and  now i have b1-b2 level and when i started it was in 2019 year, my level was A1, and now i proud of myself in somthing degree😊",1
133,"Your face ,,,make some kind of positive attraction,,,the vibe energy bla bla 🤓😂,,,informative,,,try differentiating the sentences …✨",1
134,seriously ! i do say this word all the time😂😂😂😂,3
135,It’s not only British people who say stuff like that. It’s kind of sad that Britain get more of the credit about what we both say,4
137,POV my bff explaining English for me because the teacher is confusing,1
138,Who hate british 👇,4
