,textOriginal,cluster,pred_label
11,You explain everything I love it ❤,1,Positive Feedback
28,"I thought , i am A2 before i watch this video but now i realize that i am B1 
Thanks from your video ❤",1,Error in the video
39,Please don't  Choose this picture In your video( Cover) because it's no halal for Muslim people. We hope you understand us .Thank you.,1,Error in the video
51,"HI MARINA, I AM ALL EARS WHILE I AM WATCHING YOUR VIDEO.",1,Positive Feedback
55,10:09 Thank you Marina for this meditation. It relly helped me boost my connfidence!,1,Positive Feedback
92,thanks a lot teacher❤,1,Positive Feedback
95,Justa learning 1000 words but after minutes forget 999 words 😮,1,Error in the video
110,"I was born in Syria
Yes I do have one brother
Every Friday and sometimes in Saturday and Thursday
I would like to see you marina
I would like to visit USA",1,Personal Story
112,Very cute Emily ❤,1,Positive Feedback
117,since entrepreneur is taken from French it's really easy for me x),1,Joking
128,Finally an English speaker that I can understand jajjajajaj thanks for the slang❤️,1,Positive Feedback
129,"Hello, Marina) i have been learning english for 3 years maybe and  now i have b1-b2 level and when i started it was in 2019 year, my level was A1, and now i proud of myself in somthing degree😊",1,Personal Story
133,"Your face ,,,make some kind of positive attraction,,,the vibe energy bla bla 🤓😂,,,informative,,,try differentiating the sentences …✨",1,Joking
137,POV my bff explaining English for me because the teacher is confusing,1,Positive Feedback
139,"I want to work abroad, have friends from different countries, change my life for the better and show everyone who thinks I'm incapable to achive mygoals , that I'm capable to get my goals.",1,Questions
149,mam how i can get scalarship in the usa different universities,1,Questions
163,How apply school visa,1,Questions
170,this makes me feel worse. I don’t want to spend the rest of my life with a shitty Spanish teacher who expects me to be fluent and doesn’t even give a shit abt my mental health. im terrified of Spanish like I think i have spanish class phobia (im being serious)😞,1,Personal Story
173,Tips to understand TV news máster Teacher please .,1,Constructive Criticism
181,"I decided to follow this plan 
Thank u sm 💓",1,Positive Feedback
192,I really appreciate the way you explain clearly every object in your kitchen with a sense of fun ❤,1,Positive Feedback
217,Thank you Marina I am from uzbekistan I am a great fan of yours,1,Positive Feedback
240,Thanks so much❤,1,Positive Feedback
250,I have coherent planning for my startup.,1,New Subscriber
254,Thank you very much for the very informative lesson!,1,New Subscriber
263,Getting all of these questions right from her gives me a confidence boost!,1,Positive Feedback
272,I'm new subscriber mam. And thank you so much for best teaching.,1,New Subscriber
277,Thank you so much for the information and I really want to study in United States of America,1,Positive Feedback
282,"I have a problem. 
When i read, or write english i can understand perfectly, but is hard to me to understand people talking",1,New Subscriber
287,Nice.  Teacher,1,Positive Feedback
294,Nice.  Teacher,1,Positive Feedback
296,Thanks for the phrases it was really helpful.,1,Positive Feedback
300,"Great question Marina! I think that technology is making a revolution not only in the way we learn -or even are ""necessary"" as human beings- but only in the political and power system: to whom we confer authority and why?. I think self-conscious people, with a critical mind and self-discipline values and desire to get better, will always defend their rights to speak by themselves, and think by themselves. Technology doesn´t replace our right to think by ourselves. I think that smart self conscious people will always want to learn and acquire foreign languages by themselves to expand their horizons and consciousness. Maybe with the help -assistance of technlogy as a training tool-, never replacing the ability to think by themselves and learning from other human beings. We human beings create the language, and we are the ones that make them evolve, technology is only a tool. But that said, for those people that are lazy, don't care to think by themselves, and blindly trust technology, well, yes, they are just going to use apps. The other people, we are going to continue exercising our brains, imagination and emotions.",1,Questions
303,"thank you ,  from Sri Lanka",1,Positive Feedback
308,B2-C1 but i have a lot to learn,1,New Subscriber
313,"Please read this 🙏
The Israeli occupation, a fact even acknowledged by Israelis, traces back to 1948 when the Balfour Declaration of 1917 pledged support for a Jewish national home in Palestine. This historical context is essential to understanding the plight of Palestinians. For over 70 years, Palestinians have endured displacement, restricted movement, and lived under harsh conditions. The term “apartheid” aptly describes the segregation and discrimination they face in their own land, marked by numerous Israeli checkpoints. Despite countless peaceful attempts, oppression persists, leading to further land loss and human suffering. It’s important to note that Hamas, often a focus of international attention, emerged as a response to active resistance against this enduring injustice. If you trying to feel sorry for Israelis today I hope you felt sorry for Palestinians for the past 70 years 🇵🇸🙏. Give the people their homes and country back.🇵🇸🙏",1,New Subscriber
319,@linguamarina Hey this is completely unrelated but how can you stay fit😊,1,Irrelevant
328,This is telling I need to keep practicing. Thank u Marina 😊,1,Positive Feedback
330,IAM extremly happy to follow you my daughter IAM 60years i adore english IAM mroccan,1,Positive Feedback
351,"very important : crucial, vital, indespensable 
very smart: clever , intelligent ,brilliant
very bad; awful, horrendous , 
very big; tremendous, huge, massive , 
very easy : straightforward, handy,",1,Collaboration Offers
355,"i LOVE YOU, MARINA! OMG. I WAS A SUBSCRIBER WHEN YOU WERE JUST STARTING. I CAN'T BELIEVE THAT YOU'RE NOW 8.9M STRONG!! IT FEELS TOUCHING TO SEE YOUR GROWTH!!",1,Positive Feedback
357,You're amazing teacher let me clap for her 👏,1,Positive Feedback
360,i could make with you every tests in this world which you want,1,Requests for Future Content
364,"Very Good Information You Give, Thank you , keep it up all the best.  I Am  from Pakistan.",1,Positive Feedback
365,wishing my daughter a fabulous birthday,1,Positive Feedback
