authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,channelId,videoId,textDisplay,textOriginal,parentId,canRate,viewerRating,likeCount,moderationStatus,publishedAt,updatedAt
Viktoria Stets,https://yt3.ggpht.com/ytc/APkrFKZ1rHUx6ho9rivNgUz5n9u-RjFVcSKNVqv62wU0=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCG8NQcYwnG2DQ_dgYMRILuQ,{'value': 'UCG8NQcYwnG2DQ_dgYMRILuQ'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,I’m eleven😰,I’m eleven😰,,True,none,0,,2023-10-15T12:49:02Z,2023-10-15T12:49:02Z
Namatovu Asia,https://yt3.ggpht.com/ytc/APkrFKYQ53T36IKQCyK32MKToK-cRmnuAFmS_CjNNeZ7Hai6X7J11v8InrGCjyJ8IXQc=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCFY1WuGWnOd8k8PMAveJpXA,{'value': 'UCFY1WuGWnOd8k8PMAveJpXA'},UCAQg09FkoobmLquNNoO4ulg,W2KpBcSDsUA,I&#39;m I&#39;m exhausted . 😩,I'm I'm exhausted . 😩,,True,none,0,,2023-10-15T12:44:18Z,2023-10-15T12:44:18Z
Funmi Adesanya,https://yt3.ggpht.com/ytc/APkrFKaKh3P8adC4Z-2gsElrKNXdmSU2sSS3Acl9up9cCkqufx01dotJZl9tRGv8vZZD=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCZ0iP4wAz0ihsFALWfvfTsw,{'value': 'UCZ0iP4wAz0ihsFALWfvfTsw'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,i say american wordier and i am british,i say american wordier and i am british,,True,none,0,,2023-10-15T12:43:34Z,2023-10-15T12:43:34Z
Unknown,https://yt3.ggpht.com/1NyomMoV2_SjxnJ3G0kq2TOBLMFf86i6_sp3ZJTfzGWMtqL9qtWN7kp7zdiU8tHRde8Eu-nwxBo=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCuJw2sv52AFfpyhTkwXWVUA,{'value': 'UCuJw2sv52AFfpyhTkwXWVUA'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,Man i thought it was brinjal,Man i thought it was brinjal,,True,none,0,,2023-10-15T12:42:21Z,2023-10-15T12:42:21Z
goofy VR,https://yt3.ggpht.com/c95ZajULofHKWvlFRPdOhFVISlxHJFKtiwibByWs5s0DzAx67FGRG31f2WOCcSito1F7IsbEtQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCnOHa63ItZ76FR3bphWjyRw,{'value': 'UCnOHa63ItZ76FR3bphWjyRw'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,"I&#39;m from Morocco, so can you do a Arabic  one","I'm from Morocco, so can you do a Arabic  one",,True,none,0,,2023-10-15T12:42:21Z,2023-10-15T12:42:21Z
Aaaوردة A,https://yt3.ggpht.com/ytc/APkrFKaJnEYFnpXGn35Opinm34OREuf__GFR9zT5YQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCCrjFjzMB4dlZicK8wTaQZQ,{'value': 'UCCrjFjzMB4dlZicK8wTaQZQ'},UCAQg09FkoobmLquNNoO4ulg,ATuiEVOsEis,🌸❤❤❤,🌸❤❤❤,,True,none,0,,2023-10-15T12:37:31Z,2023-10-15T12:37:31Z
Aaaوردة A,https://yt3.ggpht.com/ytc/APkrFKaJnEYFnpXGn35Opinm34OREuf__GFR9zT5YQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCCrjFjzMB4dlZicK8wTaQZQ,{'value': 'UCCrjFjzMB4dlZicK8wTaQZQ'},UCAQg09FkoobmLquNNoO4ulg,ATuiEVOsEis,🧡🧡🧡🧡🧡,🧡🧡🧡🧡🧡,,True,none,0,,2023-10-15T12:37:19Z,2023-10-15T12:37:19Z
Aaaوردة A,https://yt3.ggpht.com/ytc/APkrFKaJnEYFnpXGn35Opinm34OREuf__GFR9zT5YQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCCrjFjzMB4dlZicK8wTaQZQ,{'value': 'UCCrjFjzMB4dlZicK8wTaQZQ'},UCAQg09FkoobmLquNNoO4ulg,ATuiEVOsEis,🧡🧡🧡🧡,🧡🧡🧡🧡,,True,none,0,,2023-10-15T12:36:49Z,2023-10-15T12:36:49Z
Qrax,https://yt3.ggpht.com/iwC0EHhzb_XvBfC4o7ZjgC_0Or0Rg8c6-OTX3av86FKUVzt0owAXKZkd5k-DYwNP0tt9Xi0z=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC67YLNMelfl-nPl6cgc8GoQ,{'value': 'UC67YLNMelfl-nPl6cgc8GoQ'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,"Want some sweets, a biscuit and an aubergine on a lorry in a jumper mate?","Want some sweets, a biscuit and an aubergine on a lorry in a jumper mate?",,True,none,0,,2023-10-15T12:36:14Z,2023-10-15T12:36:14Z
Far,https://yt3.ggpht.com/ytc/APkrFKZMEwSU4PCZfEsjKp0BO8zl-kc_2DGcDiTIPOsKhgv0Xf7kEqNdly7GPF0goZYW=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCv0AIgniux9-swtMIIDJqdQ,{'value': 'UCv0AIgniux9-swtMIIDJqdQ'},UCAQg09FkoobmLquNNoO4ulg,BjdujZKbIaQ,No English person calls it a dust bin its either just bin or rubbish bin normally just bin,No English person calls it a dust bin its either just bin or rubbish bin normally just bin,,True,none,0,,2023-10-15T12:34:06Z,2023-10-15T12:34:06Z
Khiev Charya,https://yt3.ggpht.com/ytc/APkrFKblEsJ3jpunYktSZAL1Qnsgla_dwTQEHmxFsGmIxg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCsz8tkV5cuc3LtsGCzxlN-w,{'value': 'UCsz8tkV5cuc3LtsGCzxlN-w'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,I speak American,I speak American,,True,none,0,,2023-10-15T12:29:34Z,2023-10-15T12:29:34Z
